"id","MA"
1001,"Aguascalientes"
1005,"Aguascalientes"
1011,"Aguascalientes"
2003,"Tijuana"
2004,"Tijuana"
2005,"Tijuana"
2002,"Mexicali"
5017,"La Laguna"
5035,"La Laguna"
10007,"La Laguna"
10012,"La Laguna"
5004,"Saltillo"
5027,"Saltillo"
5030,"Saltillo"
5006,"Monclova-Frontera"
5010,"Monclova-Frontera"
5018,"Monclova-Frontera"
5022,"Piedras Negras"
5025,"Piedras Negras"
6002,"Colima-Villa de Álvarez"
6003,"Colima-Villa de Álvarez"
6004,"Colima-Villa de Álvarez"
6005,"Colima-Villa de Álvarez"
6010,"Colima-Villa de Álvarez"
6001,"Tecomán"
6009,"Tecomán"
7027,"Tuxtla Gutiérrez"
7101,"Tuxtla Gutiérrez"
8037,"Juárez"
8002,"Chihuahua"
8004,"Chihuahua"
8019,"Chihuahua"
9002,"Valle de México"
9003,"Valle de México"
9004,"Valle de México"
9005,"Valle de México"
9006,"Valle de México"
9007,"Valle de México"
9008,"Valle de México"
9009,"Valle de México"
9010,"Valle de México"
9011,"Valle de México"
9012,"Valle de México"
9013,"Valle de México"
9014,"Valle de México"
9015,"Valle de México"
9016,"Valle de México"
9017,"Valle de México"
13069,"Valle de México"
15002,"Valle de México"
15009,"Valle de México"
15010,"Valle de México"
15011,"Valle de México"
15013,"Valle de México"
15015,"Valle de México"
15016,"Valle de México"
15017,"Valle de México"
15020,"Valle de México"
15022,"Valle de México"
15023,"Valle de México"
15024,"Valle de México"
15025,"Valle de México"
15028,"Valle de México"
15029,"Valle de México"
15030,"Valle de México"
15031,"Valle de México"
15033,"Valle de México"
15034,"Valle de México"
15035,"Valle de México"
15036,"Valle de México"
15037,"Valle de México"
15038,"Valle de México"
15039,"Valle de México"
15044,"Valle de México"
15046,"Valle de México"
15050,"Valle de México"
15053,"Valle de México"
15057,"Valle de México"
15058,"Valle de México"
15059,"Valle de México"
15060,"Valle de México"
15061,"Valle de México"
15065,"Valle de México"
15068,"Valle de México"
15069,"Valle de México"
15070,"Valle de México"
15075,"Valle de México"
15081,"Valle de México"
15083,"Valle de México"
15084,"Valle de México"
15089,"Valle de México"
15091,"Valle de México"
15092,"Valle de México"
15093,"Valle de México"
15094,"Valle de México"
15095,"Valle de México"
15096,"Valle de México"
15099,"Valle de México"
15100,"Valle de México"
15103,"Valle de México"
15104,"Valle de México"
15108,"Valle de México"
15109,"Valle de México"
15112,"Valle de México"
15120,"Valle de México"
15121,"Valle de México"
15122,"Valle de México"
15125,"Valle de México"
11020,"León"
11037,"León"
11025,"San Francisco del Rincón"
11031,"San Francisco del Rincón"
11021,"Moroleón-Uriangato"
11041,"Moroleón-Uriangato"
12001,"Acapulco"
12021,"Acapulco"
13022,"Pachuca"
13039,"Pachuca"
13048,"Pachuca"
13051,"Pachuca"
13052,"Pachuca"
13082,"Pachuca"
13083,"Pachuca"
13016,"Tulancingo"
13056,"Tulancingo"
13077,"Tulancingo"
13010,"Tula"
13013,"Tula"
13070,"Tula"
13074,"Tula"
13076,"Tula"
14039,"Guadalajara"
14044,"Guadalajara"
14051,"Guadalajara"
14070,"Guadalajara"
14097,"Guadalajara"
14098,"Guadalajara"
14101,"Guadalajara"
14120,"Guadalajara"
14067,"Puerto Vallarta"
18020,"Puerto Vallarta"
14063,"Ocotlán"
14066,"Ocotlán"
15005,"Toluca"
15018,"Toluca"
15027,"Toluca"
15051,"Toluca"
15054,"Toluca"
