"State","Code",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Aguascalientes",1,378557,390046,401625,413204,424696,436117,447473,458742,470022,481617,493394,505025,516288,527063,537435,547560,557558,567424,577145,586727,596178,605522,614757,623888,632936
"Baja California",2,841836,866792,893199,921047,950380,981309,1013968,1048443,1085008,1124351,1164890,1204986,1244609,1283505,1321885,1360086,1398240,1436396,1474679,1513105,1551711,1590500,1629469,1668637,1708008
"Baja California Sur",3,157621,161503,165674,170136,174890,179979,185415,191222,197463,204241,211186,217965,224636,231158,237547,243876,250208,256538,262835,269110,275338,281539,287699,293825,299915
"Campeche",4,272480,281553,290440,299069,307378,315368,323000,330257,337132,343753,350307,356813,363054,368975,374662,380219,385736,391244,396743,402238,407712,413174,418614,424034,429427
"Coahuila de Zaragoza",5,1008345,1020999,1034241,1048016,1062344,1077253,1092825,1109055,1126094,1144401,1164212,1184397,1203568,1221525,1238451,1254678,1270457,1285826,1300750,1315257,1329379,1343142,1356574,1369692,1382527
"Colima",6,219038,223215,227462,231746,236081,240458,244892,249392,253979,258740,263452,267942,272251,276338,280253,284077,287886,291712,295507,299256,302966,306642,310274,313855,317384
"Chiapas",7,1642989,1679600,1716166,1752507,1788548,1824261,1859725,1894822,1929757,1965245,2002760,2041154,2077645,2111830,2144126,2175238,2205734,2235690,2265116,2294065,2322590,2350704,2378445,2405797,2432781
"Chihuahua",8,1251357,1279149,1306628,1333669,1360209,1386239,1411778,1436756,1461282,1485865,1509329,1531008,1551374,1570166,1587670,1604343,1620524,1636127,1651019,1665265,1678919,1692011,1704595,1716697,1728359
"Distrito Federal",9,4321900,4334201,4347124,4360406,4374021,4388086,4402842,4418171,4434580,4453633,4476299,4499101,4517690,4531523,4541281,4548058,4553614,4559024,4564132,4568825,4572953,4576414,4579120,4581006,4582015
"Durango",10,693303,696433,699936,703762,707898,712360,717200,722400,728064,734458,741738,749195,755916,761763,766915,771595,776084,780410,784450,788220,791727,795005,798053,800885,803509
"Guanajuato",11,2090622,2132048,2172498,2211683,2249428,2285678,2320477,2353681,2385518,2416860,2447218,2475842,2502283,2526125,2547866,2568224,2588145,2607653,2626333,2644213,2661344,2677763,2693500,2708569,2723004
"Guerrero",12,1376552,1409067,1439576,1467799,1493526,1516654,1537114,1554756,1569659,1582318,1593718,1604013,1612095,1617652,1621213,1623519,1625412,1627022,1628019,1628456,1628379,1627849,1626891,1625513,1623756
"Hidalgo",13,981095,1003084,1024413,1044935,1064528,1083159,1100827,1117442,1133087,1148155,1162769,1176743,1189684,1201394,1212098,1222112,1232005,1241851,1251407,1260671,1269666,1278387,1286830,1295003,1302901
"Jalisco",14,2783568,2834793,2885412,2935128,2983782,3031383,3078042,3123643,3168506,3213778,3258484,3301077,3340860,3377269,3410864,3442596,3473577,3504019,3533556,3562221,3590037,3617021,3643208,3668624,3693255
"México",15,5103097,5247429,5391264,5533958,5675072,5814553,5952398,6088147,6222228,6356780,6485373,6605644,6721414,6831466,6936806,7039333,7140756,7240732,7338558,7434305,7528034,7619755,7709523,7797376,7883342
"Michoacán de Ocampo",16,1864579,1899089,1931041,1960103,1986088,2008884,2028493,2044786,2057904,2068596,2076657,2082141,2085173,2085452,2083485,2080036,2076490,2073168,2069450,2065332,2060865,2055998,2050787,2045203,2039283
"Morelos",17,627793,648119,667769,686572,704413,721209,736906,751387,764663,776943,787677,797081,805882,813984,821532,828762,835939,843054,849988,856746,863321,869714,875940,881991,887860
"Nayarit",18,418887,424585,430121,435434,440506,445338,449957,454338,458524,462698,466685,470268,473431,476111,478373,480356,482316,484306,486188,487974,489666,491269,492770,494187,495516
"Nuevo León",19,1582021,1615357,1649021,1682919,1717027,1751388,1786080,1821072,1856523,1893163,1930289,1966567,2001315,2034200,2065452,2095536,2125005,2154004,2182502,2210518,2238066,2265160,2291831,2318085,2343937
"Oaxaca",20,1578752,1610422,1640290,1668036,1693491,1716565,1737258,1755405,1771161,1785158,1798657,1811549,1822311,1830650,1836966,1841953,1846653,1851313,1855503,1859281,1862645,1865650,1868307,1870626,1872619
"Puebla",21,2168344,2210987,2253741,2296384,2338806,2381013,2423116,2465008,2506975,2549935,2594420,2638907,2681171,2720661,2757832,2793476,2828425,2862775,2896352,2929199,2961357,2992852,3023703,3053929,3083577
"Querétaro",22,546948,565016,583237,601548,619888,638256,656648,675033,693451,712156,730500,748160,765407,782113,798380,814453,830533,846662,862763,878835,894874,910887,926844,942741,958563
"Quintana Roo",23,244956,260823,277375,294609,312537,331165,350518,370583,391415,413161,436215,460118,483965,507636,531193,554753,578488,602566,627119,652145,677635,703610,730060,756980,784354
"San Luis Potosí",24,1034357,1051525,1068355,1084737,1100578,1115894,1130706,1144955,1158779,1172586,1186810,1200905,1213878,1225528,1236088,1245930,1255488,1264783,1273675,1282159,1290273,1298047,1305488,1312627,1319465
"Sinaloa",25,1122328,1144258,1165020,1184454,1202463,1219010,1234070,1247575,1259625,1270651,1279824,1287102,1293315,1298300,1302327,1305742,1308995,1312132,1314952,1317460,1319684,1321614,1323274,1324658,1325781
"Sonora",26,924917,945060,965026,984720,1004104,1023171,1041929,1060350,1078506,1096793,1114619,1131487,1147389,1162147,1175964,1189158,1201986,1214411,1226345,1237819,1248861,1259513,1269791,1279734,1289353
"Tabasco",27,773557,799341,824020,847376,869249,889516,908074,924797,939651,952896,964939,976164,986499,995769,1004212,1012155,1019920,1027566,1035013,1042242,1049250,1056035,1062583,1068894,1074978
"Tamaulipas",28,1157344,1181429,1205634,1229867,1254085,1278327,1302642,1326965,1351459,1376603,1402178,1427329,1451356,1474009,1495515,1516249,1536565,1556559,1576173,1595404,1614286,1632815,1651007,1668860,1686401
"Tlaxcala",29,396432,406684,416972,427252,437495,447713,457904,468046,478188,488499,499171,509925,520312,530208,539705,548934,558074,567138,576089,584948,593702,602357,610928,619402,627801
"Veracruz de Ignacio de la Llave",30,3204451,3246924,3288291,3328245,3366623,3403453,3438827,3472581,3505060,3537501,3571655,3605849,3636532,3663131,3686355,3707309,3727555,3747448,3766494,3784747,3802217,3818932,3834903,3850157,3864680
"Yucatán",31,700368,715014,729710,744379,758994,773565,788124,802643,817221,832161,847441,862574,877066,890776,903854,916499,929052,941664,954319,966998,979685,992398,1005092,1017775,1030425
"Zacatecas",32,662678,667476,672150,676641,680910,684961,688830,692498,696058,699793,703279,706114,708367,709949,710982,711624,712220,712765,713082,713168,713042,712708,712204,711522,710672
