"State","Code",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Aguascalientes",1,368723,379691,390814,401882,412698,423255,433554,443576,453512,463801,474303,484662,494658,504133,513147,521863,530447,538895,547143,555219,563126,570887,578506,585991,593356
"Baja California",2,882308,909393,938268,968589,1000067,1032767,1066811,1102248,1139641,1180006,1224904,1272810,1320657,1368095,1415219,1462392,1509656,1557026,1604684,1652671,1700979,1749661,1798705,1848132,1897912
"Baja California Sur",3,169605,173812,178366,183212,188308,193657,199292,205232,211562,218486,226142,234218,242246,250142,257929,265648,273364,281048,288690,296290,303851,311365,318846,326272,333649
"Campeche",4,285025,294031,302859,311365,319418,326950,333953,340392,346370,352106,357403,362284,366876,371113,375035,378768,382486,386262,390010,393744,397470,401171,404847,408498,412118
"Coahuila de Zaragoza",5,1024837,1038222,1052470,1067158,1081949,1096870,1111989,1127298,1143257,1160645,1179138,1197588,1215093,1231342,1246442,1260738,1274624,1288124,1301134,1313685,1325808,1337533,1348888,1359910,1370630
"Colima",6,222974,227031,231196,235370,239476,243510,247498,251403,255345,259502,263988,268643,273161,277481,281615,285650,289689,293717,297717,301668,305569,309416,313210,316946,320620
"Chiapas",7,1683151,1718966,1755070,1790724,1825302,1858744,1891115,1922330,1953066,1984592,2015289,2043854,2070456,2094515,2116397,2136829,2156679,2176118,2194897,2213112,2230768,2247934,2264632,2280877,2296724
"Chihuahua",8,1282841,1311765,1340687,1369014,1396231,1422289,1447181,1470833,1493757,1516862,1540940,1565449,1588958,1611098,1632009,1652169,1671815,1690755,1708915,1726352,1743128,1759296,1774883,1789929,1804484
"Distrito Federal",9,4073068,4087754,4104175,4120660,4135792,4149637,4162467,4174261,4186687,4202527,4220741,4237698,4251023,4259949,4264975,4267261,4268735,4270399,4271913,4273091,4273799,4273929,4273355,4272020,4269861
"Durango",10,691338,694130,697447,701022,704642,708336,712135,716049,720339,725490,731308,737036,742072,746230,749622,752483,755214,757841,760164,762197,763961,765491,766788,767875,768773
"Guanajuato",11,2030197,2066306,2101725,2135537,2166942,2195890,2222419,2246424,2268703,2290735,2310801,2327926,2342789,2354825,2364422,2372381,2380063,2387672,2394467,2400522,2405873,2410550,2414595,2418036,2420923
"Guerrero",12,1361784,1391248,1418866,1443945,1465902,1484607,1500020,1512042,1521159,1528282,1533731,1537560,1539279,1538478,1535625,1531469,1527121,1522681,1517637,1512073,1506054,1499632,1492864,1485790,1478447
"Hidalgo",13,979464,998602,1017137,1034647,1050716,1065292,1078395,1089956,1100353,1110285,1119315,1127184,1133988,1139454,1143732,1147195,1150686,1154350,1157755,1160935,1163897,1166645,1169165,1171491,1173610
"Jalisco",14,2695066,2747230,2799550,2850854,2900130,2947277,2992357,3035220,3076965,3119591,3162199,3203198,3241769,3277096,3309548,3340080,3369892,3399095,3427243,3454374,3480518,3505703,3529951,3553262,3575685
"México",15,5081553,5223335,5365657,5506117,5642535,5774501,5901933,6024433,6144055,6264647,6388758,6514406,6636687,6753969,6866946,6977490,7086874,7194552,7299878,7402903,7503694,7602301,7698771,7793132,7885420
"Michoacán de Ocampo",16,1813605,1843579,1871275,1895849,1916565,1933334,1946181,1955003,1960509,1963983,1965271,1964317,1961071,1955088,1946766,1936898,1927190,1918021,1908514,1898677,1888512,1878079,1867378,1856399,1845188
"Morelos",17,614718,633552,651782,669075,685094,699748,712981,724713,735146,744704,753754,762511,770761,778354,785390,792109,798792,805409,811825,818049,824075,829899,835541,840997,846268
"Nayarit",18,430090,435503,440811,445832,450407,454547,458233,461483,464469,467467,470290,472720,474769,476315,477420,478231,479065,479979,480808,481566,482247,482853,483414,483905,484340
"Nuevo León",19,1617068,1651850,1687439,1723131,1758300,1792945,1827135,1860754,1894548,1929753,1965650,2000899,2034853,2066935,2097292,2126445,2154985,2183081,2210593,2237550,2263969,2289862,2315270,2340197,2364679
"Oaxaca",20,1549313,1577161,1603418,1627358,1648334,1666281,1681220,1693040,1702339,1710217,1716016,1719428,1720724,1719479,1716099,1711278,1706379,1701757,1696797,1691507,1685978,1680223,1674272,1668187,1661967
"Puebla",21,2107847,2147178,2186966,2226339,2264522,2301511,2337346,2371957,2406231,2441724,2477571,2512170,2544598,2574186,2601249,2626615,2651431,2675846,2699408,2722172,2744162,2765445,2786034,2805981,2825302
"Querétaro",22,543538,560292,577258,594189,610849,627197,643237,658920,674481,690324,706570,722891,738826,754180,769047,783636,798206,812769,827279,841721,856091,870389,884600,898717,912728
"Quintana Roo",23,272598,289270,306759,324951,343736,363079,382976,403395,424487,446511,468713,490578,512298,533721,554874,575899,596987,618325,639968,661917,684186,706757,729634,752796,776253
"San Luis Potosí",24,1032206,1047916,1063449,1078377,1092330,1105288,1117283,1128286,1138712,1149293,1159175,1167731,1175124,1181084,1185782,1189613,1193261,1196841,1200003,1202790,1205240,1207354,1209179,1210745,1212070
"Sinaloa",25,1153609,1176102,1197648,1217688,1235717,1251698,1265602,1277362,1287411,1296546,1304307,1310690,1316168,1320491,1323831,1326531,1329057,1331404,1333378,1334991,1336267,1337206,1337847,1338189,1338257
"Sonora",26,960661,981632,1002618,1023202,1043006,1061981,1080143,1097437,1114248,1131266,1148507,1165489,1181626,1196626,1210605,1223916,1236821,1249296,1261263,1272743,1283778,1294406,1304642,1314521,1324062
"Tabasco",27,790416,815723,840035,862893,883820,902696,919422,933849,946252,957173,966249,973802,980417,985878,990343,994122,997790,1001469,1004966,1008272,1011378,1014288,1016984,1019476,1021764
"Tamaulipas",28,1166539,1191209,1216293,1241306,1265806,1289771,1313223,1336124,1358964,1382621,1407211,1431900,1455623,1478017,1499228,1519677,1539764,1559495,1578774,1597613,1616021,1634009,1651604,1668788,1685607
"Tlaxcala",29,394275,404106,414040,423915,433563,442973,452148,461066,469900,478926,487725,496002,503873,511224,518079,524591,531033,537442,543730,549896,555951,561890,567719,573449,579086
"Veracruz de Ignacio de la Llave",30,3208866,3243439,3277195,3308837,3337242,3362408,3384486,3403425,3420496,3437884,3455279,3470769,3482560,3489865,3493235,3493817,3494063,3494685,3494625,3493943,3492678,3490881,3488588,3485834,3482640
"Yucatán",31,703644,718618,733808,748923,763707,778120,792184,805872,819476,833513,847726,861583,874842,887289,899016,910251,921382,932571,943767,954961,966155,977326,988488,999608,1010678
