"State","Code",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Aguascalientes",1,747280,769737,792439,815086,837394,859372,881027,902318,923534,945418,967697,989687,1010946,1031196,1050582,1069423,1088005,1106319,1124288,1141946,1159304,1176409,1193263,1209879,1226292
"Baja California",2,1724144,1776185,1831467,1889636,1950447,2014076,2080779,2150691,2224649,2304357,2389794,2477796,2565266,2651600,2737104,2822478,2907896,2993422,3079363,3165776,3252690,3340161,3428174,3516769,3605920
"Baja California Sur",3,327226,335315,344040,353348,363198,373636,384707,396454,409025,422727,437328,452183,466882,481300,495476,509524,523572,537586,551525,565400,579189,592904,606545,620097,633564
"Campeche",4,557505,575584,593299,610434,626796,642318,656953,670649,683502,695859,707710,719097,729930,740088,749697,758987,768222,777506,786753,795982,805182,814345,823461,832532,841545
"Coahuila de Zaragoza",5,2033182,2059221,2086711,2115174,2144293,2174123,2204814,2236353,2269351,2305046,2343350,2381985,2418661,2452867,2484893,2515416,2545081,2573950,2601884,2628942,2655187,2680675,2705462,2729602,2753157
"Colima",6,442012,450246,458658,467116,475557,483968,492390,500795,509324,518242,527440,536585,545412,553819,561868,569727,577575,585429,593224,600924,608535,616058,623484,630801,638004
"Chiapas",7,3326140,3398566,3471236,3543231,3613850,3683005,3750840,3817152,3882823,3949837,4018049,4085008,4148101,4206345,4260523,4312067,4362413,4411808,4460013,4507177,4553358,4598638,4643077,4686674,4729505
"Chihuahua",8,2534198,2590914,2647315,2702683,2756440,2808528,2858959,2907589,2955039,3002727,3050269,3096457,3140332,3181264,3219679,3256512,3292339,3326882,3359934,3391617,3422047,3451307,3479478,3506626,3532843
"Distrito Federal",9,8394968,8421955,8451299,8481066,8509813,8537723,8565309,8592432,8621267,8656160,8697040,8736799,8768713,8791472,8806256,8815319,8822349,8829423,8836045,8841916,8846752,8850343,8852475,8853026,8851876
"Durango",10,1384641,1390563,1397383,1404784,1412540,1420696,1429335,1438449,1448403,1459948,1473046,1486231,1497988,1507993,1516537,1524078,1531298,1538251,1544614,1550417,1555688,1560496,1564841,1568760,1572282
"Guanajuato",11,4120819,4198354,4274223,4347220,4416370,4481568,4542896,4600105,4654221,4707595,4758019,4803768,4845072,4880950,4912288,4940605,4968208,4995325,5020800,5044735,5067217,5088313,5108095,5126605,5143927
"Guerrero",12,2738336,2800315,2858442,2911744,2959428,3001261,3037134,3066798,3090818,3110600,3127449,3141573,3151374,3156130,3156838,3154988,3152533,3149703,3145656,3140529,3134433,3127481,3119755,3111303,3102203
"Hidalgo",13,1960559,2001686,2041550,2079582,2115244,2148451,2179222,2207398,2233440,2258440,2282084,2303927,2323672,2340848,2355830,2369307,2382691,2396201,2409162,2421606,2433563,2445032,2455995,2466494,2476511
